t,accx,accy,accz,gyrox,gyroy,gyroz
47424,-0.000244141,0.000244141,0.996338,-0.00292063,0.0762939,0.0849366
47434,-0.000244141,0,0.996338,0.027597,0.0152588,0.176489
47444,-0.000488281,-0.000244141,0.996338,0.11915,-0.0152588,-0.189722
47454,-0.000244141,-0.000244141,0.99707,0.0886321,-0.106812,0.0239015
47464,-0.000732422,-0.000244141,0.996826,0.24122,0.0457764,0.0239015
47474,-0.000732422,-0.000244141,0.996338,-0.00292063,-0.0152588,-0.0371337
47484,0,-0.000244141,0.996094,0.0581145,0.106812,0.0239015
47494,0,0,0.99585,0.11915,-0.0152588,0.145972
47504,-0.000244141,0,0.995605,0.149667,-0.0152588,0.0849366
47514,-0.000244141,0,0.996094,0.11915,-0.0457764,0.0849366
47524,-0.000244141,0,0.996338,0.0886321,-0.0762939,0.0849366
47534,0,0,0.99707,-0.00292063,-0.0457764,0.0239015
47544,0,-0.000488281,0.996826,0.11915,0.0457764,-0.00661612
47554,-0.000244141,-0.000244141,0.997314,-0.0334382,0.198364,0.0239015
47564,-0.000244141,-0.000244141,0.997314,-0.0334382,0.106812,0.145972
47574,-0.000244141,-0.000488281,0.99707,-0.00292063,0.0152588,-0.159204
47584,-0.000244141,-0.000488281,0.997314,-0.155509,0.0457764,0.115454
47594,-0.000244141,-0.000976562,0.997314,-0.124991,-0.0762939,0.054419
47604,0,-0.000732422,0.997559,0.149667,0.0457764,0.054419
47614,-0.000244141,-0.000732422,0.997803,0.027597,0.137329,0.268042
47624,-0.000732422,-0.000244141,0.997314,-0.155509,0.0762939,0.115454
47634,-0.000244141,-0.000488281,0.99707,-0.155509,0.0457764,0.145972
47644,0,-0.000244141,0.996826,-0.00292063,-0.0457764,0.145972
47654,0.000244141,-0.000732422,0.997314,-0.00292063,0.106812,-0.0371337
47664,0.000244141,-0.000488281,0.99707,0.149667,-0.0152588,0.207007
47674,0.000244141,-0.000244141,0.997559,0.149667,0.167847,-0.0676513
47684,0,-0.000244141,0.998291,-0.0639558,0.0457764,0.0239015
47694,0.000244141,-0.000732422,0.997803,-0.0639558,0.0152588,-0.0676513
47704,0.000244141,-0.000488281,0.997314,0.027597,0.0457764,0.115454
47714,0.000244141,-0.000488281,0.99707,0.0581145,0.0762939,-0.0981688
47724,0.000244141,-0.000732422,0.99707,0.027597,0.0457764,-0.0676513
47734,-0.000244141,-0.000488281,0.99707,0.0581145,0.106812,-0.0981688
47744,-0.000488281,-0.000244141,0.996582,-0.0639558,-0.0152588,0.115454
47754,-0.000244141,-0.000488281,0.996582,0.027597,-0.0152588,-0.00661612
47764,0.000244141,-0.000488281,0.996582,0.027597,0.0152588,0.115454
47774,0,0,0.996826,-0.0334382,-0.0457764,0.0239015
47784,0.000244141,0,0.99707,-0.00292063,0.0152588,0.054419
47794,0,0.000244141,0.996582,-0.00292063,0.0762939,0.115454
47804,0.000244141,0,0.996338,0.0886321,-0.0457764,-0.128686
47814,0.000244141,0,0.996826,-0.0334382,0.0152588,0.207007
47824,0.000488281,0.000244141,0.996094,-0.0944734,-0.0457764,-0.0371337
47834,0,-0.000244141,0.996338,0.0581145,-0.0457764,0.054419
47844,-0.000488281,0,0.996582,0.0581145,0.0457764,0.054419
47854,-0.000244141,-0.000244141,0.996582,-0.0639558,0.137329,0.0239015
47864,-0.000244141,-0.000732422,0.996826,-0.00292063,-0.0457764,-0.00661612
47874,-0.000488281,-0.000488281,0.996826,-0.00292063,0.0762939,0.115454
47884,-0.000488281,-0.000244141,0.996826,-0.00292063,-0.137329,-0.00661612
47894,-0.000244141,-0.000244141,0.997803,-0.00292063,-0.0762939,0.0239015
47904,0,-0.000244141,0.99707,0.11915,-0.0457764,0.145972
47914,0.000244141,-0.000244141,0.99707,0.027597,0.0762939,0.0849366
47924,0.000732422,-0.000488281,0.99707,-0.00292063,-0.0762939,0.0239015
47934,0.000488281,-0.000732422,0.996582,0.210702,-0.0152588,0.054419
47944,0.000488281,-0.000244141,0.996582,-0.00292063,-0.106812,-0.0371337
47954,0,-0.000488281,0.996582,0.027597,-0.0762939,-0.0371337
47964,0.000244141,0,0.99707,0.149667,-0.0152588,0.115454
47974,0.000488281,-0.000244141,0.997803,-0.0639558,0.0457764,0.054419
47984,0,0,0.997314,0.180185,-0.137329,0.0849366
47994,0.000244141,-0.000488281,0.997559,0.11915,0.0152588,0.054419
48004,0.000732422,-0.000244141,0.997314,0.027597,0.0762939,0.0849366
48024,0.000488281,0.000488281,0.99707,0.0581145,0.0152588,0.0239015
48034,0.000488281,0.000732422,0.99707,0.027597,0.0762939,0.0239015
48044,0.000488281,0.000244141,0.997314,0.027597,0.0152588,0.054419
48054,0.000488281,0,0.99707,-0.0639558,-0.137329,0.115454
48064,0.000488281,0,0.996582,0.0886321,-0.137329,-0.00661612
48074,0.000488281,0,0.996338,0.210702,0.0762939,-0.281274
48084,0.000244141,0.000488281,0.996582,0.11915,0.0457764,0.145972
48094,0.000244141,0.000244141,0.996338,0.027597,-0.0152588,0.0849366
48104,-0.000244141,0,0.996338,0.027597,0.0152588,0.115454
48114,-0.000244141,0,0.996338,0.027597,0.0762939,-0.0371337
48134,0,-0.000244141,0.996826,0.11915,-0.0152588,-0.00661612
48144,0,-0.000488281,0.996582,0.0886321,-0.0152588,0.0239015
48154,0.000244141,-0.000488281,0.996826,-0.00292063,-0.0152588,-0.0371337
48164,0,-0.000488281,0.996826,0.180185,0.106812,-0.0676513
48174,-0.000244141,-0.000488281,0.997559,0.0886321,-0.0457764,0.207007
48184,0,-0.000244141,0.997314,-0.0334382,0.0457764,0.0239015
48194,-0.000244141,-0.000488281,0.997314,-0.00292063,-0.0457764,-0.0981688
48204,-0.000244141,-0.000488281,0.996826,0.0581145,0.0457764,-0.0371337
48214,0.000244141,-0.000244141,0.996826,-0.00292063,0.106812,0.054419
48224,0,-0.000244141,0.996094,0.0886321,0.0152588,-0.128686
48234,0.000244141,-0.000244141,0.996338,0.0581145,0.0762939,0.0849366
48244,0.000244141,-0.000244141,0.996338,0.0886321,0.0762939,-0.00661612
48254,0.000244141,-0.000488281,0.99707,0.0886321,-0.0457764,-0.00661612
48274,-0.000244141,-0.000244141,0.99707,0.0886321,0.0457764,-0.0371337
48284,-0.000488281,0,0.997314,0.11915,-0.0152588,-0.189722
48294,-0.000488281,-0.000732422,0.997314,-0.0944734,-0.0457764,-0.0676513
48304,-0.000488281,-0.000732422,0.997314,0.11915,0.106812,0.054419
48314,-0.000488281,-0.000976562,0.99707,-0.00292063,0.0152588,-0.0981688
48324,-0.000488281,-0.000732422,0.996582,0.027597,0.0762939,0.0849366
48334,-0.000488281,-0.000732422,0.99707,0.027597,-0.0152588,0.0239015
48344,-0.000488281,-0.000488281,0.996826,0.0581145,0.198364,-0.0981688
48354,-0.000488281,-0.000732422,0.99707,-0.0639558,-0.106812,0.0849366
48364,-0.000488281,-0.000488281,0.996582,-0.0944734,0.0457764,0.054419
48374,-0.000488281,-0.000488281,0.996582,-0.00292063,0.106812,-0.0371337
48384,-0.000732422,-0.000244141,0.996582,0.11915,-0.0152588,-0.0371337
48394,-0.000732422,-0.000244141,0.99707,-0.0639558,-0.0152588,-0.00661612
48404,-0.000976562,-0.000488281,0.99707,0.0581145,0.106812,0.176489
48414,-0.000732422,-0.000244141,0.997559,0.210702,0.0457764,-0.0981688
48424,-0.000732422,0,0.997803,0.24122,-0.0457764,-0.0981688
48434,-0.000732422,-0.000244141,0.997803,0.0581145,-0.0152588,-0.0676513
48444,-0.000488281,0,0.997559,-0.0944734,0.0457764,0.145972
